location,price,m2,price/m2,details,floor,build
"град Велико Търново, Център",59 800 EUR,33 m2,(1812 EUR/m2),Продава 2-СТАЕН,4-ти от 8,Строителство: Тухла
"град Велико Търново, Център",61 000 EUR,80 m2,(763 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Център",61 000 EUR,80 m2,(763 EUR/m2),Продава 2-СТАЕН,"Тухла, 2014 г.","
"
"град Велико Търново, Център",133 000 лв.,61 m2,(2180 лв./m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Чолаковци",46 000 EUR,62 m2,(742 EUR/m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Акация",53 000 EUR,65 m2,(815 EUR/m2),Продава 3-СТАЕН,1-ви от 4,"Строителство: Панел, 1965 г."
"град Велико Търново, Акация",78 000 EUR,95 m2,(821 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Акация",79 800 EUR,96 m2,(831 EUR/m2),Продава 3-СТАЕН,9-ти от 9,Газ: ДА
"град Велико Търново, Бузлуджа",63 000 EUR,74 m2,(851 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Зона Б",40 700 EUR,76 m2,(536 EUR/m2),Продава 3-СТАЕН,5-ти от 5,Строителство: Панел
"град Велико Търново, Зона Б",85 800 EUR,105 m2,(817 EUR/m2),Продава 3-СТАЕН,2-ри от 6,Газ: НЕ
"град Велико Търново, Картала",55 000 EUR,66 m2,(833 EUR/m2),Продава 3-СТАЕН,Партер от 6,Строителство: Тухла
"град Велико Търново, Картала",55 000 EUR,75 m2,(733 EUR/m2),Продава 3-СТАЕН,1-ви от 6,"Строителство: Тухла, 2017 г."
"град Велико Търново, Колю Фичето, Спортна зала",80 000 EUR,66 m2,(1212 EUR/m2),Продава 3-СТАЕН,НЕ,ТEЦ: НЕ
"град Велико Търново, Колю Фичето",88 000 EUR,76 m2,(1158 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Колю Фичето",89 000 EUR,76 m2,(1171 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Център, Спортна зала",51 500 EUR,67 m2,(769 EUR/m2),Продава 3-СТАЕН,1-ви от 6,Строителство: Панел
"град Велико Търново, Център",115 000 лв.,80 m2,(1438 лв./m2),Продава 3-СТАЕН,2-ри от 9,Строителство: Тухла
"град Велико Търново, Център",123 000 лв.,81 m2,(1519 лв./m2),Продава 3-СТАЕН,2-ри от 5,Строителство: Тухла
"град Велико Търново, Център",63 000 EUR,77 m2,(818 EUR/m2),Продава 3-СТАЕН,2-ри от 8,Строителство: Тухла
"град Велико Търново, Център",76 000 EUR,79 m2,(962 EUR/m2),Продава 3-СТАЕН,5-ти от 6,Строителство: Тухла
"град Велико Търново, Център",83 600 EUR,90 m2,(929 EUR/m2),Продава 3-СТАЕН,3-ти от 7,Газ: НЕ
"град Велико Търново, Център",85 000 EUR,90 m2,(944 EUR/m2),Продава 3-СТАЕН,7-ми от 8,Строителство: Тухла
"град Велико Търново, Център",85 000 EUR,81 m2,(1049 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Център",86 500 EUR,90 m2,(961 EUR/m2),Продава 3-СТАЕН,"Тухла, 2021 г.","
"
"град Велико Търново, Център",87 500 EUR,120 m2,(729 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Център",87 500 EUR,90 m2,(972 EUR/m2),Продава 3-СТАЕН,3-ти от 4,Строителство: Тухла
"град Велико Търново, Център",89 500 EUR,130 m2,(688 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Център",93 000 EUR,104 m2,(894 EUR/m2),Продава 3-СТАЕН,2-ри от 4,Строителство: Тухла
"град Велико Търново, Център",97 500 EUR,96 m2,(1016 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Център",113 000 EUR,114 m2,(991 EUR/m2),Продава 3-СТАЕН,4-ти от 4,Газ: НЕ
"град Велико Търново, Център",114 000 EUR,94 m2,(1213 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Център",115 000 EUR,143 m2,(804 EUR/m2),Продава 3-СТАЕН,8-ми от 8,"Строителство: Тухла, 2020 г."
"град Велико Търново, Център",130 000 EUR,92 m2,(1413 EUR/m2),Продава 3-СТАЕН,"Тухла, 2005 г.","
"
"град Велико Търново, Център",154 000 EUR,110 m2,(1400 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Център",160 000 EUR,152 m2,(1053 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",207 000 EUR,197 m2,(1051 EUR/m2),Продава 4-СТАЕН,9-ти от 9,"Строителство: Тухла, 2020 г."
"град Велико Търново, Център",79 000 EUR,91 m2,(868 EUR/m2),Продава 4-СТАЕН,5-ти от 5,Строителство: Тухла
"град Велико Търново, Център, бул.'България' 38 ",90 000 EUR,95 m2,(947 EUR/m2),Продава 4-СТАЕН,3-ти от 7,Строителство: Тухла
"град Велико Търново, Център",129 400 EUR,131 m2,(988 EUR/m2),Продава 4-СТАЕН,3-ти от 4,Строителство: Тухла
"град Велико Търново, Акация",28 800 EUR,35 m2,(823 EUR/m2),Продава 1-СТАЕН,Партер от 4,"Строителство: Тухла, 1980 г."
